Date,Daily Avg Temp. in DegC
1961-07-04,28.85144805908203
1961-07-05,25.318925857543945
1961-07-06,25.8436336517334
1961-07-07,24.973495483398438
1961-07-08,23.541484832763672
1961-07-09,23.83221435546875
1961-07-10,24.28701400756836
1961-07-11,25.634357452392578
1961-07-12,26.922441482543945
1961-07-13,24.82595443725586
1961-07-14,22.550216674804688
1961-07-15,24.438955307006836
1961-07-16,26.67620849609375
1961-07-17,27.525121688842773
1961-07-18,27.163829803466797
1961-07-19,28.365711212158203
1961-07-20,29.56587028503418
1961-07-21,29.93883514404297
1961-07-22,30.214384078979492
1961-07-23,30.08778953552246
1961-07-24,27.17630386352539
1961-07-25,27.405542373657227
1961-07-26,28.446182250976562
1961-07-27,28.862680435180664
1961-07-28,27.13974952697754
1961-07-29,28.15574836730957
1961-07-30,27.663406372070312
1961-07-31,28.662683486938477
1961-08-01,28.19317626953125
1961-08-02,28.863008499145508
1961-08-03,29.069074630737305
1961-08-04,28.646421432495117
1961-08-05,27.880577087402344
1961-08-06,28.39792251586914
1961-08-07,28.03668212890625
1961-08-08,27.72902488708496
1961-08-09,27.857276916503906
1961-08-10,28.49094581604004
1961-08-11,28.941946029663086
1961-08-12,29.239810943603516
1961-08-13,26.1118106842041
1961-08-14,23.979726791381836
1961-08-15,25.998897552490234
1961-08-16,25.10706329345703
1961-08-17,24.2608699798584
1961-08-18,24.19124984741211
1961-08-19,26.177181243896484
1961-08-20,26.566669464111328
1961-08-21,27.62505531311035
1961-08-22,27.67194938659668
1961-08-23,26.9016056060791
1961-08-24,26.18678855895996
1961-08-25,25.8815860748291
1961-08-26,26.53844451904297
1961-08-27,27.457489013671875
1961-08-28,27.4703369140625
1961-08-29,23.22894287109375
1961-08-30,23.908920288085938
1961-08-31,23.991247177124023
1961-09-01,25.028926849365234
1961-09-02,25.21388816833496
1961-09-03,25.24122428894043
1961-09-04,25.126256942749023
1961-09-05,26.47295570373535
1961-09-06,26.655405044555664
1961-09-07,25.55855369567871
1961-09-08,25.16085433959961
1961-09-09,24.782758712768555
1961-09-10,25.678762435913086
1961-09-11,25.36492919921875
1961-09-12,25.762516021728516
1961-09-13,25.662944793701172
1961-09-14,25.829748153686523
1961-09-15,23.70653533935547
1961-09-16,19.081436157226562
1961-09-17,19.42803955078125
1961-09-18,17.73421859741211
1961-09-19,19.258604049682617
1961-09-20,18.74388885498047
1961-09-21,19.873300552368164
1961-09-22,21.309362411499023
1961-09-23,21.190589904785156
1961-09-24,20.90963363647461
1961-09-25,21.361364364624023
1961-09-26,21.662431716918945
1961-09-27,22.06484603881836
1961-09-28,15.527039527893066
1961-09-29,15.98659896850586
1961-09-30,16.078285217285156
1961-10-01,16.582002639770508
1961-10-02,15.523756980895996
1961-10-03,15.966206550598145
1961-10-04,16.35550308227539
1961-10-05,17.283370971679688
1961-10-06,17.034542083740234
1961-10-07,17.239355087280273
1961-10-08,17.410789489746094
1961-10-09,17.983951568603516
1961-10-10,15.972088813781738
1961-10-11,13.840545654296875
1961-10-12,13.140140533447266
1961-10-13,14.99300479888916
1961-10-14,16.06968116760254
1961-10-15,16.27124786376953
1961-10-16,15.792342185974121
1961-10-17,15.947358131408691
1961-10-18,16.890056610107422
1961-10-19,17.01169204711914
1961-10-20,16.46661376953125
1961-10-21,16.785594940185547
1961-10-22,18.15931510925293
1961-10-23,16.416818618774414
1961-10-24,15.794245719909668
1961-10-25,16.287860870361328
1961-10-26,16.786705017089844
1961-10-27,15.170326232910156
1961-10-28,10.97091007232666
1961-10-29,9.866781234741211
1961-10-30,11.516321182250977
1961-10-31,12.265556335449219
1961-11-01,13.300942420959473
1961-11-02,13.167424201965332
1961-11-03,12.951272964477539
1961-11-04,12.447711944580078
1961-11-05,12.351081848144531
1961-11-06,12.7106351852417
1961-11-07,14.38897705078125
1961-11-08,14.436079978942871
1961-11-09,14.220906257629395
1961-11-10,14.48134708404541
1961-11-11,14.539291381835938
1961-11-12,14.076533317565918
1961-11-13,14.434106826782227
1961-11-14,14.063291549682617
1961-11-15,14.285130500793457
1961-11-16,14.754300117492676
1961-11-17,14.515878677368164
1961-11-18,13.091814041137695
1961-11-19,11.236340522766113
1961-11-20,8.63092041015625
1961-11-21,9.034967422485352
1961-11-22,10.47757625579834
1961-11-23,9.288386344909668
1961-11-24,9.046341896057129
1961-11-25,9.126873016357422
1961-11-26,8.93238353729248
1961-11-27,10.384538650512695
1961-11-28,10.33413028717041
1961-11-29,10.591378211975098
1961-11-30,8.571552276611328
1961-12-01,9.487105369567871
1961-12-02,9.445016860961914
1961-12-03,8.64732837677002
1961-12-04,7.693739891052246
1961-12-05,5.77531623840332
1961-12-06,6.100624084472656
1961-12-07,7.556780815124512
1961-12-08,8.12197494506836
1961-12-09,5.728620529174805
1961-12-10,7.400217533111572
1961-12-11,7.908961772918701
1961-12-12,7.605648517608643
1961-12-13,9.252606391906738
1961-12-14,6.541976451873779
1961-12-15,5.545869827270508
1961-12-16,6.228091716766357
1961-12-17,7.708059787750244
1961-12-18,9.067351341247559
1961-12-19,7.859948635101318
1961-12-20,6.442006587982178
1961-12-21,4.492185592651367
1961-12-22,6.229702472686768
1961-12-23,5.601010799407959
1961-12-24,6.8134894371032715
1961-12-25,6.072782039642334
1961-12-26,7.5030975341796875
1961-12-27,7.882439136505127
1961-12-28,6.212565898895264
1961-12-29,6.5717549324035645
1961-12-30,5.5980119705200195
1961-12-31,4.608806610107422
