Date,EL Paso,Dhaka,Berlin
1966-06-14,23.2344913482666,28.985177993774414,10.252019882202148
1966-06-15,23.361812591552734,28.053823471069336,13.331144332885742
1966-06-16,24.45819091796875,26.664203643798828,13.870492935180664
1966-06-17,26.28608512878418,28.79649543762207,11.856341361999512
1966-06-18,23.702199935913086,25.97454261779785,9.986457824707031
1966-06-19,24.059898376464844,26.508872985839844,13.72812271118164
1966-06-20,26.68994140625,26.219453811645508,15.587270736694336
1966-06-21,28.580358505249023,25.71725845336914,15.253067016601562
1966-06-22,29.507972717285156,26.80379867553711,17.184289932250977
1966-06-23,29.632347106933594,27.729347229003906,19.00963020324707
1966-06-24,28.51628303527832,28.106163024902344,18.555526733398438
1966-06-25,29.64432144165039,27.886760711669922,12.514789581298828
1966-06-26,27.390043258666992,28.720970153808594,12.37902545928955
1966-06-27,26.445463180541992,28.355628967285156,12.90995979309082
1966-06-28,27.31977653503418,28.122724533081055,14.28112506866455
1966-06-29,28.98388671875,28.230993270874023,17.136762619018555
1966-06-30,27.400390625,28.516735076904297,20.132169723510742
1966-07-01,25.07978057861328,28.048404693603516,21.953100204467773
1966-07-02,23.030174255371094,27.613372802734375,22.73588752746582
1966-07-03,23.36564064025879,28.422473907470703,23.727893829345703
1966-07-04,20.987062454223633,28.07769203186035,24.013689041137695
1966-07-05,21.721393585205078,28.307668685913086,24.111608505249023
1966-07-06,21.86963653564453,28.618528366088867,23.49639129638672
1966-07-07,23.943937301635742,28.499584197998047,19.97810173034668
1966-07-08,23.682392120361328,29.09020233154297,18.11542510986328
1966-07-09,24.798717498779297,29.876354217529297,18.260663986206055
1966-07-10,24.115964889526367,29.386077880859375,17.736352920532227
1966-07-11,23.67713165283203,28.666109085083008,20.391056060791016
1966-07-12,25.56671714782715,28.69562339782715,21.401552200317383
1966-07-13,25.627716064453125,28.787702560424805,20.331398010253906
1966-07-14,23.972768783569336,29.524171829223633,20.830827713012695
1966-07-15,24.009824752807617,28.966398239135742,18.179174423217773
1966-07-16,23.843021392822266,29.66847801208496,18.93890380859375
1966-07-17,27.046096801757812,29.908931732177734,21.62624740600586
1966-07-18,27.724365234375,29.214815139770508,22.373136520385742
1966-07-19,28.86471939086914,28.875389099121094,23.67775535583496
1966-07-20,29.636579513549805,28.941055297851562,23.339309692382812
1966-07-21,29.201875686645508,29.466083526611328,21.704463958740234
1966-07-22,25.666900634765625,29.45514678955078,20.203636169433594
1966-07-23,27.37417984008789,28.99540138244629,20.98598289489746
1966-07-24,27.584470748901367,29.55699920654297,23.1788387298584
1966-07-25,25.58998680114746,28.7782039642334,18.048845291137695
1966-07-26,26.524255752563477,28.73314666748047,15.398823738098145
1966-07-27,28.070186614990234,29.312803268432617,16.593814849853516
1966-07-28,28.096105575561523,28.72716522216797,19.844703674316406
1966-07-29,27.932640075683594,27.99791717529297,19.804859161376953
1966-07-30,29.242069244384766,28.06355857849121,17.404775619506836
1966-07-31,26.2508602142334,27.909666061401367,18.397045135498047
1966-08-01,25.866573333740234,28.463525772094727,18.22896957397461
1966-08-02,26.07958221435547,29.06928825378418,17.33573341369629
1966-08-03,27.06165885925293,29.36796760559082,16.807161331176758
1966-08-04,26.44297218322754,29.404390335083008,17.830013275146484
1966-08-05,27.483190536499023,28.750539779663086,18.355966567993164
1966-08-06,25.370439529418945,28.36032485961914,19.288158416748047
